filename E_MC #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
1.txt 108000.0 16 13 13 13 13 13 13 13 13 13 
10.txt 108000.0 13 13 13 13 13 13 13 13 13 13 
2.txt 108000.0 14 14 14 14 14 14 14 14 14 14 
3.txt 108000.0 14 14 14 14 14 14 14 14 14 14 
4.txt 108000.0 11 11 11 11 11 11 11 11 11 11 
5.txt 108000.0 12 12 12 12 12 12 12 12 12 12 
6.txt 108000.0 13 13 13 13 13 13 13 13 13 13 
7.txt 108000.0 12 12 12 12 12 12 12 12 12 12 
8.txt 108000.0 16 16 16 16 16 16 16 16 16 16 
9.txt 108000.0 9 9 9 9 9 9 9 9 9 9 
1.txt 216000.0 14 13 13 13 13 13 13 13 13 13 
10.txt 216000.0 7 7 7 7 7 7 7 7 7 7 
2.txt 216000.0 13 13 13 13 13 13 13 13 13 13 
3.txt 216000.0 13 13 13 13 13 13 13 13 13 13 
4.txt 216000.0 13 13 13 13 13 13 13 13 13 13 
5.txt 216000.0 11 11 11 11 11 11 11 11 11 11 
6.txt 216000.0 13 13 13 13 13 13 13 13 13 13 
7.txt 216000.0 5 5 5 5 5 5 5 5 5 5 
8.txt 216000.0 7 7 7 7 7 7 7 7 7 7 
9.txt 216000.0 11 11 11 11 11 11 11 11 11 11 
1.txt 324000.0 10 9 9 9 9 9 9 9 9 9 
10.txt 324000.0 2 2 2 2 2 2 2 2 2 2 
2.txt 324000.0 12 12 12 12 12 12 12 12 12 12 
3.txt 324000.0 9 9 9 9 9 9 9 9 9 9 
4.txt 324000.0 10 10 10 10 10 10 10 10 10 10 
5.txt 324000.0 10 10 10 10 10 10 10 10 10 10 
6.txt 324000.0 9 9 9 9 9 9 9 9 9 9 
7.txt 324000.0 5 5 5 5 5 5 5 5 5 5 
8.txt 324000.0 9 9 9 9 9 9 9 9 9 9 
9.txt 324000.0 11 11 11 11 11 11 11 11 11 11 
1.txt 432000.0 6 5 5 5 5 5 5 5 5 5 
10.txt 432000.0 3 3 3 3 3 3 3 3 3 3 
2.txt 432000.0 5 5 5 5 5 5 5 5 5 5 
3.txt 432000.0 5 5 5 5 5 5 5 5 5 5 
4.txt 432000.0 4 4 4 4 4 4 4 4 4 4 
5.txt 432000.0 6 6 6 6 6 6 6 6 6 6 
6.txt 432000.0 5 5 5 5 5 5 5 5 5 5 
7.txt 432000.0 5 5 5 5 5 5 5 5 5 5 
8.txt 432000.0 6 6 6 6 6 6 6 6 6 6 
9.txt 432000.0 5 5 5 5 5 5 5 5 5 5 
1.txt 540000.0 5 2 2 2 2 2 2 2 2 2 
10.txt 540000.0 2 2 2 2 2 2 2 2 2 2 
2.txt 540000.0 3 3 3 3 3 3 3 3 3 3 
3.txt 540000.0 5 5 5 5 5 5 5 5 5 5 
4.txt 540000.0 4 4 4 4 4 4 4 4 4 4 
5.txt 540000.0 4 4 4 4 4 4 4 4 4 4 
6.txt 540000.0 5 5 5 5 5 5 5 5 5 5 
7.txt 540000.0 5 5 5 5 5 5 5 5 5 5 
8.txt 540000.0 6 6 6 6 6 6 6 6 6 6 
9.txt 540000.0 6 6 6 6 6 6 6 6 6 6 
