filename T #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
1.txt 100000.0 0 0 0 0 0 0 0 0 0 0 
10.txt 100000.0 0 0 0 0 0 0 0 0 0 0 
2.txt 100000.0 0 0 0 0 0 0 0 0 0 0 
3.txt 100000.0 0 0 0 0 0 0 0 0 0 0 
4.txt 100000.0 0 0 0 0 0 0 0 0 0 0 
5.txt 100000.0 0 0 0 0 0 0 0 0 0 0 
6.txt 100000.0 0 0 0 0 0 0 0 0 0 0 
7.txt 100000.0 0 0 0 0 0 0 0 0 0 0 
8.txt 100000.0 0 0 0 0 0 0 0 0 0 0 
9.txt 100000.0 0 0 0 0 0 0 0 0 0 0 
1.txt 200000.0 6 5 5 5 5 5 5 5 5 5 
10.txt 200000.0 8 8 8 8 8 8 8 8 8 8 
2.txt 200000.0 8 8 8 8 8 8 8 8 8 8 
3.txt 200000.0 9 9 9 9 9 9 9 9 9 9 
4.txt 200000.0 4 4 4 4 4 4 4 4 4 4 
5.txt 200000.0 8 8 8 8 8 8 8 8 8 8 
6.txt 200000.0 8 8 8 8 8 8 8 8 8 8 
7.txt 200000.0 5 5 5 5 5 5 5 5 5 5 
8.txt 200000.0 4 4 4 4 4 4 4 4 4 4 
9.txt 200000.0 9 9 9 9 9 9 9 9 9 9 
1.txt 300000.0 9 9 9 9 9 9 9 9 9 9 
10.txt 300000.0 13 13 13 13 13 13 13 13 13 13 
2.txt 300000.0 9 9 9 9 9 9 9 9 9 9 
3.txt 300000.0 15 15 15 15 15 15 15 15 15 15 
4.txt 300000.0 10 10 10 10 10 10 10 10 10 10 
5.txt 300000.0 11 11 11 11 11 11 11 11 11 11 
6.txt 300000.0 12 12 12 12 12 12 12 12 12 12 
7.txt 300000.0 9 9 9 9 9 9 9 9 9 9 
8.txt 300000.0 9 9 9 9 9 9 9 9 9 9 
9.txt 300000.0 15 15 15 15 15 15 15 15 15 15 
1.txt 400000.0 18 21 21 21 21 21 21 21 21 21 
10.txt 400000.0 20 20 20 20 20 20 20 20 20 20 
2.txt 400000.0 16 16 16 16 16 16 16 16 16 16 
3.txt 400000.0 31 31 31 31 31 31 31 31 31 31 
4.txt 400000.0 15 15 15 15 15 15 15 15 15 15 
5.txt 400000.0 46 46 46 46 46 46 46 46 46 46 
6.txt 400000.0 19 19 19 19 19 19 19 19 19 19 
7.txt 400000.0 17 17 17 17 17 17 17 17 17 17 
8.txt 400000.0 22 22 22 22 22 22 22 22 22 22 
9.txt 400000.0 16 16 16 16 16 16 16 16 16 16 
1.txt 500000.0 85 24 24 24 24 24 24 24 24 24 
10.txt 500000.0 20 20 20 20 20 20 20 20 20 20 
2.txt 500000.0 19 19 19 19 19 19 19 19 19 19 
3.txt 500000.0 92 92 92 92 92 92 92 92 92 92 
4.txt 500000.0 22 22 22 22 22 22 22 22 22 22 
5.txt 500000.0 80 80 80 80 80 80 80 80 80 80 
6.txt 500000.0 25 25 25 25 25 25 25 25 25 25 
7.txt 500000.0 25 25 25 25 25 25 25 25 25 25 
8.txt 500000.0 29 29 29 29 29 29 29 29 29 29 
9.txt 500000.0 26 26 26 26 26 26 26 26 26 26 
