filename U #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
1.txt 1.3333333333333333 10 13 13 13 13 13 13 13 13 13 
10.txt 1.3333333333333333 18 18 18 18 18 18 18 18 18 18 
2.txt 1.3333333333333333 10 10 10 10 10 10 10 10 10 10 
3.txt 1.3333333333333333 12 12 12 12 12 12 12 12 12 12 
4.txt 1.3333333333333333 14 14 14 14 14 14 14 14 14 14 
5.txt 1.3333333333333333 14 14 14 14 14 14 14 14 14 14 
6.txt 1.3333333333333333 14 14 14 14 14 14 14 14 14 14 
7.txt 1.3333333333333333 12 12 12 12 12 12 12 12 12 12 
8.txt 1.3333333333333333 11 11 11 11 11 11 11 11 11 11 
9.txt 1.3333333333333333 16 16 16 16 16 16 16 16 16 16 
1.txt 2.6666666666666665 6 7 7 7 7 7 7 7 7 7 
10.txt 2.6666666666666665 10 10 10 10 10 10 10 10 10 10 
2.txt 2.6666666666666665 11 11 11 11 11 11 11 11 11 11 
3.txt 2.6666666666666665 4 4 4 4 4 4 4 4 4 4 
4.txt 2.6666666666666665 11 11 11 11 11 11 11 11 11 11 
5.txt 2.6666666666666665 10 10 10 10 10 10 10 10 10 10 
6.txt 2.6666666666666665 11 11 11 11 11 11 11 11 11 11 
7.txt 2.6666666666666665 9 9 9 9 9 9 9 9 9 9 
8.txt 2.6666666666666665 10 10 10 10 10 10 10 10 10 10 
9.txt 2.6666666666666665 12 12 12 12 12 12 12 12 12 12 
1.txt 4.0 3 4 4 4 4 4 4 4 4 4 
10.txt 4.0 10 10 10 10 10 10 10 10 10 10 
2.txt 4.0 4 4 4 4 4 4 4 4 4 4 
3.txt 4.0 5 5 5 5 5 5 5 5 5 5 
4.txt 4.0 9 9 9 9 9 9 9 9 9 9 
5.txt 4.0 10 10 10 10 10 10 10 10 10 10 
6.txt 4.0 11 11 11 11 11 11 11 11 11 11 
7.txt 4.0 14 14 14 14 14 14 14 14 14 14 
8.txt 4.0 9 9 9 9 9 9 9 9 9 9 
9.txt 4.0 9 9 9 9 9 9 9 9 9 9 
1.txt 5.333333333333333 3 3 3 3 3 3 3 3 3 3 
10.txt 5.333333333333333 7 7 7 7 7 7 7 7 7 7 
2.txt 5.333333333333333 10 10 10 10 10 10 10 10 10 10 
3.txt 5.333333333333333 4 4 4 4 4 4 4 4 4 4 
4.txt 5.333333333333333 5 5 5 5 5 5 5 5 5 5 
5.txt 5.333333333333333 6 6 6 6 6 6 6 6 6 6 
6.txt 5.333333333333333 4 4 4 4 4 4 4 4 4 4 
7.txt 5.333333333333333 9 9 9 9 9 9 9 9 9 9 
8.txt 5.333333333333333 8 8 8 8 8 8 8 8 8 8 
9.txt 5.333333333333333 7 7 7 7 7 7 7 7 7 7 
1.txt 6.666666666666667 3 2 2 2 2 2 2 2 2 2 
10.txt 6.666666666666667 6 6 6 6 6 6 6 6 6 6 
2.txt 6.666666666666667 7 7 7 7 7 7 7 7 7 7 
3.txt 6.666666666666667 4 4 4 4 4 4 4 4 4 4 
4.txt 6.666666666666667 5 5 5 5 5 5 5 5 5 5 
5.txt 6.666666666666667 6 6 6 6 6 6 6 6 6 6 
6.txt 6.666666666666667 9 9 9 9 9 9 9 9 9 9 
7.txt 6.666666666666667 8 8 8 8 8 8 8 8 8 8 
8.txt 6.666666666666667 3 3 3 3 3 3 3 3 3 3 
9.txt 6.666666666666667 6 6 6 6 6 6 6 6 6 6 
