filename xP #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
1.txt 0.5 0 0 0 0 0 0 0 0 0 0 
10.txt 0.5 0 0 0 0 0 0 0 0 0 0 
2.txt 0.5 0 0 0 0 0 0 0 0 0 0 
3.txt 0.5 0 0 0 0 0 0 0 0 0 0 
4.txt 0.5 0 0 0 0 0 0 0 0 0 0 
5.txt 0.5 0 0 0 0 0 0 0 0 0 0 
6.txt 0.5 0 0 0 0 0 0 0 0 0 0 
7.txt 0.5 0 0 0 0 0 0 0 0 0 0 
8.txt 0.5 0 0 0 0 0 0 0 0 0 0 
9.txt 0.5 0 0 0 0 0 0 0 0 0 0 
1.txt 1.0 5 5 5 5 5 5 5 5 5 5 
10.txt 1.0 5 5 5 5 5 5 5 5 5 5 
2.txt 1.0 3 3 3 3 3 3 3 3 3 3 
3.txt 1.0 4 4 4 4 4 4 4 4 4 4 
4.txt 1.0 5 5 5 5 5 5 5 5 5 5 
5.txt 1.0 5 5 5 5 5 5 5 5 5 5 
6.txt 1.0 4 4 4 4 4 4 4 4 4 4 
7.txt 1.0 2 2 2 2 2 2 2 2 2 2 
8.txt 1.0 5 5 5 5 5 5 5 5 5 5 
9.txt 1.0 9 9 9 9 9 9 9 9 9 9 
1.txt 1.5 9 10 10 10 10 10 10 10 10 10 
10.txt 1.5 10 10 10 10 10 10 10 10 10 10 
2.txt 1.5 5 5 5 5 5 5 5 5 5 5 
3.txt 1.5 8 8 8 8 8 8 8 8 8 8 
4.txt 1.5 10 10 10 10 10 10 10 10 10 10 
5.txt 1.5 10 10 10 10 10 10 10 10 10 10 
6.txt 1.5 15 15 15 15 15 15 15 15 15 15 
7.txt 1.5 7 7 7 7 7 7 7 7 7 7 
8.txt 1.5 10 10 10 10 10 10 10 10 10 10 
9.txt 1.5 10 10 10 10 10 10 10 10 10 10 
1.txt 2.0 15 18 18 18 18 18 18 18 18 18 
10.txt 2.0 16 16 16 16 16 16 16 16 16 16 
2.txt 2.0 22 22 22 22 22 22 22 22 22 22 
3.txt 2.0 18 18 18 18 18 18 18 18 18 18 
4.txt 2.0 18 18 18 18 18 18 18 18 18 18 
5.txt 2.0 21 21 21 21 21 21 21 21 21 21 
6.txt 2.0 18 18 18 18 18 18 18 18 18 18 
7.txt 2.0 21 21 21 21 21 21 21 21 21 21 
8.txt 2.0 20 20 20 20 20 20 20 20 20 20 
9.txt 2.0 18 18 18 18 18 18 18 18 18 18 
1.txt 2.5 29 37 37 37 37 37 37 37 37 37 
10.txt 2.5 23 23 23 23 23 23 23 23 23 23 
2.txt 2.5 25 25 25 25 25 25 25 25 25 25 
3.txt 2.5 29 29 29 29 29 29 29 29 29 29 
4.txt 2.5 27 27 27 27 27 27 27 27 27 27 
5.txt 2.5 29 29 29 29 29 29 29 29 29 29 
6.txt 2.5 24 24 24 24 24 24 24 24 24 24 
7.txt 2.5 25 25 25 25 25 25 25 25 25 25 
8.txt 2.5 27 27 27 27 27 27 27 27 27 27 
9.txt 2.5 25 25 25 25 25 25 25 25 25 25 
