filename T #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
1.txt 100000.0 105137.22451922607 105111.14404728296 105111.14404728296 105111.14404728296 105111.14404728296 105111.14404728296 105111.14404728296 105111.14404728296 105111.14404728296 105111.14404728296 
10.txt 100000.0 104320.0727090915 104320.0727090915 104320.0727090915 104320.0727090915 104320.0727090915 104320.0727090915 104320.0727090915 104320.0727090915 104320.0727090915 104320.0727090915 
2.txt 100000.0 105341.97350832222 105341.97350832222 105341.97350832222 105341.97350832222 105341.97350832222 105341.97350832222 105341.97350832222 105341.97350832222 105341.97350832222 105341.97350832222 
3.txt 100000.0 105066.124915635 105066.124915635 105066.124915635 105066.124915635 105066.124915635 105066.124915635 105066.124915635 105066.124915635 105066.124915635 105066.124915635 
4.txt 100000.0 156570.7263823911 156570.7263823911 156570.7263823911 156570.7263823911 156570.7263823911 156570.7263823911 156570.7263823911 156570.7263823911 156570.7263823911 156570.7263823911 
5.txt 100000.0 105828.17025834906 105828.17025834906 105828.17025834906 105828.17025834906 105828.17025834906 105828.17025834906 105828.17025834906 105828.17025834906 105828.17025834906 105828.17025834906 
6.txt 100000.0 125437.41085146599 125437.41085146599 125437.41085146599 125437.41085146599 125437.41085146599 125437.41085146599 125437.41085146599 125437.41085146599 125437.41085146599 125437.41085146599 
7.txt 100000.0 104430.19174030908 104430.19174030908 104430.19174030908 104430.19174030908 104430.19174030908 104430.19174030908 104430.19174030908 104430.19174030908 104430.19174030908 104430.19174030908 
8.txt 100000.0 152550.8449563111 152550.8449563111 152550.8449563111 152550.8449563111 152550.8449563111 152550.8449563111 152550.8449563111 152550.8449563111 152550.8449563111 152550.8449563111 
9.txt 100000.0 106455.78338688129 106455.78338688129 106455.78338688129 106455.78338688129 106455.78338688129 106455.78338688129 106455.78338688129 106455.78338688129 106455.78338688129 106455.78338688129 
1.txt 200000.0 422341.1141705555 477372.21338097955 477372.21338097955 477372.21338097955 477372.21338097955 477372.21338097955 477372.21338097955 477372.21338097955 477372.21338097955 477372.21338097955 
10.txt 200000.0 424093.32353330875 424093.32353330875 424093.32353330875 424093.32353330875 424093.32353330875 424093.32353330875 424093.32353330875 424093.32353330875 424093.32353330875 424093.32353330875 
2.txt 200000.0 412092.3691545638 412092.3691545638 412092.3691545638 412092.3691545638 412092.3691545638 412092.3691545638 412092.3691545638 412092.3691545638 412092.3691545638 412092.3691545638 
3.txt 200000.0 418821.7676320167 418821.7676320167 418821.7676320167 418821.7676320167 418821.7676320167 418821.7676320167 418821.7676320167 418821.7676320167 418821.7676320167 418821.7676320167 
4.txt 200000.0 517301.7159710813 517301.7159710813 517301.7159710813 517301.7159710813 517301.7159710813 517301.7159710813 517301.7159710813 517301.7159710813 517301.7159710813 517301.7159710813 
5.txt 200000.0 424676.08973658946 424676.08973658946 424676.08973658946 424676.08973658946 424676.08973658946 424676.08973658946 424676.08973658946 424676.08973658946 424676.08973658946 424676.08973658946 
6.txt 200000.0 373798.9668451771 373798.9668451771 373798.9668451771 373798.9668451771 373798.9668451771 373798.9668451771 373798.9668451771 373798.9668451771 373798.9668451771 373798.9668451771 
7.txt 200000.0 415220.55655082414 415220.55655082414 415220.55655082414 415220.55655082414 415220.55655082414 415220.55655082414 415220.55655082414 415220.55655082414 415220.55655082414 415220.55655082414 
8.txt 200000.0 422700.8760818061 422700.8760818061 422700.8760818061 422700.8760818061 422700.8760818061 422700.8760818061 422700.8760818061 422700.8760818061 422700.8760818061 422700.8760818061 
9.txt 200000.0 387112.589023341 387112.589023341 387112.589023341 387112.589023341 387112.589023341 387112.589023341 387112.589023341 387112.589023341 387112.589023341 387112.589023341 
1.txt 300000.0 685509.9376011274 728423.5145562616 728423.5145562616 728423.5145562616 728423.5145562616 728423.5145562616 728423.5145562616 728423.5145562616 728423.5145562616 728423.5145562616 
10.txt 300000.0 732226.0897648713 732226.0897648713 732226.0897648713 732226.0897648713 732226.0897648713 732226.0897648713 732226.0897648713 732226.0897648713 732226.0897648713 732226.0897648713 
2.txt 300000.0 622918.0054805047 622918.0054805047 622918.0054805047 622918.0054805047 622918.0054805047 622918.0054805047 622918.0054805047 622918.0054805047 622918.0054805047 622918.0054805047 
3.txt 300000.0 601560.9194167866 601560.9194167866 601560.9194167866 601560.9194167866 601560.9194167866 601560.9194167866 601560.9194167866 601560.9194167866 601560.9194167866 601560.9194167866 
4.txt 300000.0 756124.7533432087 756124.7533432087 756124.7533432087 756124.7533432087 756124.7533432087 756124.7533432087 756124.7533432087 756124.7533432087 756124.7533432087 756124.7533432087 
5.txt 300000.0 634309.9494109026 634309.9494109026 634309.9494109026 634309.9494109026 634309.9494109026 634309.9494109026 634309.9494109026 634309.9494109026 634309.9494109026 634309.9494109026 
6.txt 300000.0 605048.1645784796 605048.1645784796 605048.1645784796 605048.1645784796 605048.1645784796 605048.1645784796 605048.1645784796 605048.1645784796 605048.1645784796 605048.1645784796 
